---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:20:54 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 645
capture.afpacket.poll_timeout                                | Total                     | 631
capture.afpacket.poll_data                                   | Total                     | 14
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 1420
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 8
decoder.icmpv6                                               | Total                     | 9
decoder.avg_pkt_size                                         | Total                     | 78
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 3
flow.active                                                  | Total                     | 3
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 10
memcap.pressure_max                                          | Total                     | 10
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 6848512
tcp.reassembly_memuse                                        | Total                     | 1261568
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:21:02 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 1623
capture.afpacket.poll_timeout                                | Total                     | 1609
capture.afpacket.poll_data                                   | Total                     | 14
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 1420
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 8
decoder.icmpv6                                               | Total                     | 9
decoder.avg_pkt_size                                         | Total                     | 78
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 3
flow.active                                                  | Total                     | 3
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 3
flow.mgr.flows_notimeout                                     | Total                     | 3
memcap.pressure                                              | Total                     | 10
memcap.pressure_max                                          | Total                     | 10
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 6848512
tcp.reassembly_memuse                                        | Total                     | 1261568
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:21:10 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 2276
capture.afpacket.poll_timeout                                | Total                     | 2262
capture.afpacket.poll_data                                   | Total                     | 14
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 1420
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 8
decoder.icmpv6                                               | Total                     | 9
decoder.avg_pkt_size                                         | Total                     | 78
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 3
flow.active                                                  | Total                     | 3
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 3
flow.mgr.flows_notimeout                                     | Total                     | 3
memcap.pressure                                              | Total                     | 10
memcap.pressure_max                                          | Total                     | 10
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 6848512
tcp.reassembly_memuse                                        | Total                     | 1261568
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
